Erster    ;7208,9 ;Gesamtzeit         ;99602,1     ; ;PipeZeit ;22231,9
          ;2765,7 ;Durchschnitt       ;2845,774286 ; ;         ;
          ;2728   ;                   ;            ; ;Faktor   ;4,480143398
          ;2737,9 ;                   ;            ; ;         ;
          ;2727,2 ;                   ;            ; ;         ;
          ;2714,1 ;                   ;            ; ;         ;
          ;2702,3 ;                   ;            ; ;         ;
          ;2687,2 ;                   ;            ; ;         ;
          ;2698,7 ;                   ;            ; ;         ;
          ;2694,2 ;                   ;            ; ;         ;
          ;2705,9 ;                   ;            ; ;         ;
          ;2702,4 ;                   ;            ; ;         ;
          ;2702,4 ;                   ;            ; ;         ;
          ;2766,6 ;                   ;            ; ;         ;
          ;2718,1 ;                   ;            ; ;         ;
          ;2866,8 ;                   ;            ; ;         ;
          ;2715,3 ;                   ;            ; ;         ;
          ;2721,7 ;                   ;            ; ;         ;
          ;2709,1 ;                   ;            ; ;         ;
          ;2726,8 ;                   ;            ; ;         ;
          ;2713,3 ;                   ;            ; ;         ;
          ;2716   ;                   ;            ; ;         ;
          ;2717,8 ;                   ;            ; ;         ;
          ;2705,4 ;                   ;            ; ;         ;
          ;2720,1 ;                   ;            ; ;         ;
          ;2716,2 ;                   ;            ; ;         ;
          ;2703,7 ;                   ;            ; ;         ;
          ;2708,8 ;                   ;            ; ;         ;
          ;2690,8 ;                   ;            ; ;         ;
          ;2700,3 ;                   ;            ; ;         ;
          ;2704,4 ;                   ;            ; ;         ;
          ;2704,6 ;                   ;            ; ;         ;
          ;2700,3 ;                   ;            ; ;         ;
          ;2695,2 ;                   ;            ; ;         ;
          ;2705,9 ;                   ;            ; ;         ;
          ;       ;                   ;            ; ;         ;
Zweiter   ;3859,8 ;Gesamtzeit         ;93503,1     ; ;PipeZeit ;21891,4
          ;2638,7 ;Durchschnitt       ;2671,517143 ; ;         ;
          ;2650,9 ;                   ;            ; ;Faktor   ;4,27122523
          ;2653,7 ;                   ;            ; ;         ;
          ;2654,5 ;                   ;            ; ;         ;
          ;2642,1 ;                   ;            ; ;         ;
          ;2666,9 ;                   ;            ; ;         ;
          ;2680,2 ;                   ;            ; ;         ;
          ;2644,9 ;                   ;            ; ;         ;
          ;2613,2 ;                   ;            ; ;         ;
          ;2605,5 ;                   ;            ; ;         ;
          ;2594,6 ;                   ;            ; ;         ;
          ;2633,3 ;                   ;            ; ;         ;
          ;2603,7 ;                   ;            ; ;         ;
          ;2605,7 ;                   ;            ; ;         ;
          ;2618,1 ;                   ;            ; ;         ;
          ;2637,3 ;                   ;            ; ;         ;
          ;2635,7 ;                   ;            ; ;         ;
          ;2656,1 ;                   ;            ; ;         ;
          ;2620,6 ;                   ;            ; ;         ;
          ;2642,6 ;                   ;            ; ;         ;
          ;2624,1 ;                   ;            ; ;         ;
          ;2640,4 ;                   ;            ; ;         ;
          ;2641,2 ;                   ;            ; ;         ;
          ;2647,7 ;                   ;            ; ;         ;
          ;2637,5 ;                   ;            ; ;         ;
          ;2639,2 ;                   ;            ; ;         ;
          ;2642,4 ;                   ;            ; ;         ;
          ;2639,8 ;                   ;            ; ;         ;
          ;2645,7 ;                   ;            ; ;         ;
          ;2661,3 ;                   ;            ; ;         ;
          ;2633,1 ;                   ;            ; ;         ;
          ;2632,7 ;                   ;            ; ;         ;
          ;2622,2 ;                   ;            ; ;         ;
          ;2637,7 ;                   ;            ; ;         ;
          ;       ;                   ;            ; ;         ;
Dritter   ;3882,4 ;Gesamtzeit         ;94028,9     ; ;PipeZeit ;22273,4
          ;2667,4 ;Durchschnitt       ;2686,54     ; ;         ;
          ;2645,8 ;                   ;            ; ;Faktor   ;4,221578205
          ;2657,7 ;                   ;            ; ;         ;
          ;2652,4 ;                   ;            ; ;         ;
          ;2673,4 ;                   ;            ; ;         ;
          ;2644,7 ;                   ;            ; ;         ;
          ;2654,8 ;                   ;            ; ;         ;
          ;2662,5 ;                   ;            ; ;         ;
          ;2658,9 ;                   ;            ; ;         ;
          ;2641,1 ;                   ;            ; ;         ;
          ;2657,2 ;                   ;            ; ;         ;
          ;2653,4 ;                   ;            ; ;         ;
          ;2663,9 ;                   ;            ; ;         ;
          ;2645,1 ;                   ;            ; ;         ;
          ;2639,8 ;                   ;            ; ;         ;
          ;2650,5 ;                   ;            ; ;         ;
          ;2641,7 ;                   ;            ; ;         ;
          ;2647,1 ;                   ;            ; ;         ;
          ;2633,5 ;                   ;            ; ;         ;
          ;2662,6 ;                   ;            ; ;         ;
          ;2671,4 ;                   ;            ; ;         ;
          ;2629,9 ;                   ;            ; ;         ;
          ;2632,6 ;                   ;            ; ;         ;
          ;2640   ;                   ;            ; ;         ;
          ;2633,9 ;                   ;            ; ;         ;
          ;2651,3 ;                   ;            ; ;         ;
          ;2654   ;                   ;            ; ;         ;
          ;2637,8 ;                   ;            ; ;         ;
          ;2658,4 ;                   ;            ; ;         ;
          ;2646,4 ;                   ;            ; ;         ;
          ;2662,8 ;                   ;            ; ;         ;
          ;2672,2 ;                   ;            ; ;         ;
          ;2653,3 ;                   ;            ; ;         ;
          ;2649   ;                   ;            ; ;         ;
          ;       ;                   ;            ; ;         ;
Vierter   ;3895   ;Gesamtzeit         ;94327,5     ; ;PipeZeit ;22041,2
          ;2665,8 ;Durchschnitt       ;2695,071429 ; ;         ;
          ;2659,2 ;                   ;            ; ;Faktor   ;4,279599114
          ;2659,2 ;                   ;            ; ;         ;
          ;2661,8 ;                   ;            ; ;         ;
          ;2646,3 ;                   ;            ; ;         ;
          ;2650,6 ;                   ;            ; ;         ;
          ;2647,3 ;                   ;            ; ;         ;
          ;2664,2 ;                   ;            ; ;         ;
          ;2647,3 ;                   ;            ; ;         ;
          ;2646   ;                   ;            ; ;         ;
          ;2638,4 ;                   ;            ; ;         ;
          ;2658,5 ;                   ;            ; ;         ;
          ;2662,9 ;                   ;            ; ;         ;
          ;2635,9 ;                   ;            ; ;         ;
          ;2680,5 ;                   ;            ; ;         ;
          ;2661,8 ;                   ;            ; ;         ;
          ;2683,5 ;                   ;            ; ;         ;
          ;2662,3 ;                   ;            ; ;         ;
          ;2649,9 ;                   ;            ; ;         ;
          ;2667,3 ;                   ;            ; ;         ;
          ;2658,4 ;                   ;            ; ;         ;
